id,value,feed_id,created_at,lat,lon,ele
0F373T4X1ESW7SHZ63C89H7SRG,473,2300344,2022-08-12 21:29:51 UTC,,,
0F373TSTJEB3N767PP0Z8G5RV4,485,2300344,2022-08-12 21:30:59 UTC,,,
0F373VEPP3DCNHMJ5FW4W481PV,491,2300344,2022-08-12 21:32:08 UTC,,,
0F373W3QC1136YDHPRBDZYHAXJ,474,2300344,2022-08-12 21:33:17 UTC,,,
0F373WRMCGMF8ERA07BEAFTWA9,476,2300344,2022-08-12 21:34:25 UTC,,,
0F373XEAFRPZ85HTWC4KS67R8Y,469,2300344,2022-08-12 21:35:36 UTC,,,
0F373Y37ZVXSTYBBND77SFM2VH,479,2300344,2022-08-12 21:36:45 UTC,,,
0F373YRMC6A40TSNND3820SBS1,473,2300344,2022-08-12 21:37:55 UTC,,,
0F373ZE2540DMM9ZAC1BKDCZNV,475,2300344,2022-08-12 21:39:05 UTC,,,
0F374032P4EEA71X8TZ6K9F7K5,468,2300344,2022-08-12 21:40:14 UTC,,,
0F3740R50HG1ZEEF0HYNFZ47XE,467,2300344,2022-08-12 21:41:23 UTC,,,
0F3741D6BQ9G5B2DXRED7AN1BF,476,2300344,2022-08-12 21:42:32 UTC,,,
0F374227ME65EQFZ9CJSJ7B19M,469,2300344,2022-08-12 21:43:41 UTC,,,
0F3742QB50SB36FG4X7YEH2DWP,475,2300344,2022-08-12 21:44:50 UTC,,,
0F3743CJH6MFS3VR6AH3F2CYDC,475,2300344,2022-08-12 21:46:00 UTC,,,
0F37441Y4ES3BZV25PYZRN3XAK,457,2300344,2022-08-12 21:47:10 UTC,,,
0F3744Q7TGJW4MPKWPTM22PJT1,472,2300344,2022-08-12 21:48:19 UTC,,,
0F3745CB1RZM41P6HZ30K3FN8A,472,2300344,2022-08-12 21:49:28 UTC,,,
0F37461BT69G90KDA21AH5S52R,478,2300344,2022-08-12 21:50:37 UTC,,,
0F3746PFA6D07H4FDW7JVRN6ZS,475,2300344,2022-08-12 21:51:47 UTC,,,
0F3747BSVYXXE1PBE2YAWXGZFA,468,2300344,2022-08-12 21:52:56 UTC,,,
0F37480ZR67XWA2PKG94ARAW91,491,2300344,2022-08-12 21:54:06 UTC,,,
0F3748NNEWHEB66FVY9BHJDR1Y,479,2300344,2022-08-12 21:55:14 UTC,,,
0F3749AT5EHCMP1XBPMRTHD992,466,2300344,2022-08-12 21:56:23 UTC,,,
0F3749ZRNY2B0Y1K3AVAC4SPC1,482,2300344,2022-08-12 21:57:32 UTC,,,
0F374AMTXGC749CXM842JBBR3Y,473,2300344,2022-08-12 21:58:41 UTC,,,
0F374BA11Z3N89ZN375PMD3QHV,480,2300344,2022-08-12 21:59:50 UTC,,,
0F374BZAXMHVRTA94Q1ADJYVVS,466,2300344,2022-08-12 22:01:00 UTC,,,
0F374CMBHHJ4Q9JAH29KA8MM3G,483,2300344,2022-08-12 22:02:09 UTC,,,
0F374DAT910Q7X2X9S0JE1B7G4,475,2300344,2022-08-12 22:03:22 UTC,,,
0F374E08CZQH37ANQFVC430J1J,474,2300344,2022-08-12 22:04:33 UTC,,,
0F374EN1GAKVE2EM6MSQCJ5NTE,484,2300344,2022-08-12 22:05:41 UTC,,,
0F374F9WGXBA39577G81E5AH4A,473,2300344,2022-08-12 22:06:49 UTC,,,
0F374FYX5JY1ESWG5YBBH9CVQ3,490,2300344,2022-08-12 22:07:58 UTC,,,
0F374GKWDRQC08YWB18DYNHJVZ,498,2300344,2022-08-12 22:09:07 UTC,,,
0F374H8YWNBV9TB6Y9NZVZX6M1,496,2300344,2022-08-12 22:10:16 UTC,,,
0F374HXRP7APACQK5MYSPEX4ZJ,482,2300344,2022-08-12 22:11:24 UTC,,,
0F374JJ9QCKWXG4WTYGPKJ4QGD,497,2300344,2022-08-12 22:12:31 UTC,,,
0F374K7WDT3P09XQ745XMV9X46,472,2300344,2022-08-12 22:13:42 UTC,,,
0F374KX77BGYG00B4SDV6522BN,485,2300344,2022-08-12 22:14:52 UTC,,,
0F374MJDA8A19CGFEW6WV6W1B6,471,2300344,2022-08-12 22:16:01 UTC,,,
0F374N755NZ7ZG23PXPDA014T6,490,2300344,2022-08-12 22:17:09 UTC,,,
0F374NW3K0ZQ5JXKYNHHHCD0BV,479,2300344,2022-08-12 22:18:18 UTC,,,
0F374PHGRWYQ2DR9MM1M316RJS,485,2300344,2022-08-12 22:19:28 UTC,,,
0F374Q6DW3Y3ADG1XNJNBK6T30,488,2300344,2022-08-12 22:20:37 UTC,,,
0F374QV3NQ124W91P9XTPGDG9D,492,2300344,2022-08-12 22:21:44 UTC,,,
0F374RG5F58KYYA2V8JZWW59SX,477,2300344,2022-08-12 22:22:53 UTC,,,
0F374S56C1KY2QDK9NN4YSAQZ8,481,2300344,2022-08-12 22:24:02 UTC,,,
0F374ST13QR1Q8696RBPE6APAH,472,2300344,2022-08-12 22:25:10 UTC,,,
0F374TF4VV91PZDYX6HAKBGY43,481,2300344,2022-08-12 22:26:20 UTC,,,
0F374V3ZNM2X0MWMXE98ZZ6HND,490,2300344,2022-08-12 22:27:28 UTC,,,
